reviewId,content,score
c720da25-d9d9-4854-acda-b8dc1ac1eaeb,supar,5
dc2d5eac-6689-42fa-ba2d-52c3760e9d55,Very Good,5
c974d046-f941-4a62-a3c7-8ad719e6cd7c,I want to be unable to do anything on any account. blackmail me. remove ny human rights,5
f4dcbe8d-c460-42aa-bd46-9d85db4a2748,Good,5
034130fb-d89d-4875-a225-c14585160681,good platfrom,5
67eb1847-c52f-4f07-adf3-032b8fbbd290,WhatsApp Messe Rate this app 6969 Huzaifa fgsg fhgkj,5
5b4c6a09-88d4-434e-b23d-f93488fdc75b,Awesome,5
3e8ece7e-6e5e-45b4-8115-30ccd0cf8c1a,"Everyday my account will be blocked with a message that I'm spamming, please help me",2
962097be-a19e-4670-99db-382824917c53,Good,5
b5720cb6-d14a-4195-94d9-797fc7627b49,isisisi,5
d6a33fc6-a356-4845-b3f3-1574ce907e39,good,3
c9a2e8e0-c0b3-4892-92c7-b82d234d7ffc,very good,5
8b9f9487-b9a4-4bb6-a3c5-c11df8360cb2,good,5
9cc5eb14-2eb4-4b97-b206-5363c4391383,this is very good aap i like it,5
b66f6348-0fea-4893-a2d4-1174c9d9e9b6,WaLker TC AUD,4
f16abfe3-6074-47ea-b16c-7b53f1057e7b,great,5
5841fa6a-9dc6-463e-a912-3595cbf561e1,very good,5
110313e3-78cd-4602-abfc-dc69debdfc50,hello whatsapp ? you calling feature are bad,1
89dedc93-f12a-46b7-acf4-38e685852f9f,"Such a garbage app, can't even lock it into portrait orientation.",1
544b254f-259b-41d6-b632-df32e23576d3,Shubham Babu,5
6b6c3238-a5d4-4f7b-a7e5-ea14c040e352,good 👍,5
f7ab31b0-be6e-4a6d-ae62-10c3da56e52d,diwanchan,5
628cb9f7-14ca-4f55-91b4-0273840bfb0a,This app was very responsible for messages and calling,5
48c98bd7-9840-4348-9648-70a88c1bbba6,Dear WhatsApp team I am not using any unofficial WhatsApp application but still when i try to open my office whatsapp it shows you need official whatsapp to login problem please help me to fix it as possible god bless you.,5
fae35337-2748-4312-8e17-901483105f24,yeheh,4
c5375816-ea50-4388-9e42-15916f0715f6,it's good,5
f6e44761-1bf7-41df-b643-41a0383d1ce9,pauful xalxa,5
bf33b6a7-cf31-443f-a186-ac63629dc59d,Really good to me,5
cab85a5c-11e2-475a-935a-bbd6af5035fe,very nice 👍 app,4
d37cf5ed-64d6-4ee2-9537-bf84a18e09b1,"Sending videos to WhatsApp status it's like watching JAV video. BLURRY AF, why the heck the video I post on my status look like 90s pixel game graphics??",3
