reviewId,review,rating,cleaned_review,sentiment_score,sentiment
10f35ae0-61cc-4043-b4a9-5303341c250d,Sarbon Neyk,5,sarbon neyk,0.0,neutral
3a142c6e-1441-43e3-bfd8-ed0dbb31c40e,love,5,love,0.6369,positive
e35b68a5-fb40-4a83-90dc-8faaf9988fcd,nice app,5,nice app,0.4215,positive
d7f3b003-cb5b-4030-85e0-d914e0ec1268,Mdsazzad,5,mdsazzad,0.0,neutral
d6a9c665-f2fe-44b3-b218-728870f5cc17,Review,5,review,0.0,neutral
926321f5-427d-49f0-8969-e682b358d4f5,best,4,best,0.6369,positive
eddc9ff4-b39b-4379-9c44-61111d3a49bc,very good app,5,good app,0.4404,positive
db66c1d0-45cd-441d-b62d-71f6367689c3,Thinks,5,think,0.0,neutral
bde8f9e2-7b4d-4ec6-a8d0-d11635ece09d,Its a very good app i like it app,1,good app like app,0.6597,positive
aa2d310b-e4cc-4a08-88f4-e795c7703cf8,it's the best app,4,best app,0.6369,positive
4d90129d-c916-4a31-969f-dfe07e10d0cc,Getting disbanded without any reason,1,getting disbanded without reason,0.0,neutral
a2761ac0-66b4-40fd-8135-be9c847ad66b,Abawle Toafeek,5,abawle toafeek,0.0,neutral
bc8a5ac5-f0bf-4960-a803-a3669f02d562,❤️❤️❤️,5,,0.0,neutral
649b4400-8867-4a30-a2dd-fe86cd9d5e9b,nice apps,5,nice apps,0.4215,positive
30abee74-0066-4882-9a45-a04f37fff40b,it's superb,5,superb,0.6249,positive
76dfbb1a-6f83-4f50-9ee9-e39c463e0b16,Biraga,1,biraga,0.0,neutral
66ae87c6-c375-481e-8f2b-cc5e3f26586d,Lee. susman MN to,5,lee susman,0.0,neutral
ecbaba04-2414-4553-a814-b6bc9999c5ff,di umaanonung message nya,1,umaanonung message nya,0.0,neutral
148031ab-a8bb-4084-bfe4-c731585a2930,Good for storage,4,good storage,0.4404,positive
fcc9d66e-b0e9-4de7-93d4-0beb072e7a7b,best of the best,5,best best,0.8555,positive
bc389ab7-13b7-4686-9f3e-367f3c5b838c,Nice,5,nice,0.4215,positive
68775303-4b84-4cea-a2ce-b5e492b09e97,good,5,good,0.4404,positive
80178292-c5ca-45ab-a6e4-aacdf8860263,assalamualaikum kassy ho,5,assalamualaikum kassy,0.0,neutral
0a25e2db-819d-4433-82ed-fb3f09a441d1,yeah,5,yeah,0.296,positive
8d279171-bebc-447f-b31e-e648b5c09362,lovely,5,lovely,0.5859,positive
3cbf92df-9ad4-4275-9102-fe749324f6bf,ok,5,,0.0,neutral
1d7f4858-ed1c-42e5-b9bb-463a2ab02335,be happy 😊 me and you 💞,5,happy,0.5719,positive
8ca29c6f-1ff3-482f-9ca4-8bd5e830682e,Nice this app,5,nice app,0.4215,positive
8ed2bb22-a772-4200-b5e1-cc272126a366,Very good but I had a little bit problem about it sometimes Add friend will not allow me to Add my friends.,4,good little bit problem sometimes add friend allow add friend,0.8307,positive
4d2ccfd8-fffb-455d-9d87-df5d3fb386d3,ok,4,,0.0,neutral
c454be37-b18c-4463-bcb3-eb5bd94f004a,free fire Diamond apps 2025,5,free fire diamond apps 2025,0.5106,positive
710bae3c-73b2-4583-b947-95a548b4267a,I really love it,5,really love,0.6697,positive
c35a7084-35f4-46d4-b101-a5202921aa5f,Single now here😉😘,2,single,0.0,neutral
7e800495-c9cd-44ac-8847-b09701f294fa,Hey Loic! Gimme a laugh 😂,4,hey loic gim laugh,0.5574,positive
18d128ce-4da2-49b9-bbdb-c41fea6b07f3,very fantastic,5,fantastic,0.5574,positive
5ee1d2d0-d8ff-4d1f-81d6-26476a8fa39e,আমি কোন পোস্ট দেখতে পারছি না কেন,2,পসট দখত পরছ,0.0,neutral
ea2cf6fc-d772-4147-ac8d-dc06a5b2dc27,is a good one,5,good one,0.4404,positive
93c922cf-9d14-4559-81ad-91428bd94960,This app is great 👍👍👍,3,app great,0.6249,positive
666d7fef-c914-4364-bce0-afeecd5ed6a6,FB bast appp,5,bast appp,0.0,neutral
0695fa23-bf8d-4632-a891-3b6b98e494d7,correct 👍,5,correct,0.0,neutral
706a832f-01f7-4d7e-abf7-a879e6539bfe,good for chat,5,good chat,0.4404,positive
0f38c68e-72d2-4272-881c-020cb1282a91,maganda,5,maganda,0.0,neutral
b8385245-2260-46f7-8c82-7ed69200e0ce,good apps for Android,5,good apps android,0.4404,positive
e17cb209-14ea-4b84-b967-5effb08bdbae,amazing apps,5,amazing apps,0.5859,positive
ab8511cb-246d-40bf-82b8-1b0a5f56a3c1,"Used facebook lite for a long long time never had any trouble that is until last month.My account got suspended,made an appeal then were able to use my account for a week.Now suddenly its PERMANENTLY DISABLED. For WHAT,following pages,liking images/videos/reels and share-ing or saving them,keeping up with what family/friends post.And almost never message people on facebook.Never posted anything nude etc. So tell me what about all that didnt follow your community standards.",1,used facebook lite long long time never trouble last monthmy account got suspendedmade appeal able use account weeknow suddenly permanently disabled whatfollowing pagesliking imagesvideosreels shareing saving themkeeping familyfriends postand almost never message people facebooknever posted anything nude etc tell didnt follow community standard,0.3089,positive
e47d1c6a-028d-4423-80cd-d83adf7346dd,nice,2,nice,0.4215,positive
77271723-8c3c-4686-8d11-ab5a9744bdca,good,3,good,0.4404,positive
0425558b-84af-4325-b002-158aadb332e6,perfect,5,perfect,0.5719,positive
702f2f3c-2de4-4e99-8ca3-6b23f10129f2,nice 👍,4,nice,0.4215,positive
41d3c22f-4482-4bc9-b1ab-a52a93156784,"taenah, palaging nadi-disable account ko. hauf ka meta",1,taenah palaging nadidisable account hauf meta,0.0,neutral
